experiment,activity,next_activity,frequency
22,droppedOffRegion2,startProcessingRegion2,141225
22,pickedUpRegion1,droppedOffRegion2,141215
22,finishedProcessingRegion2,productCallsForTransportRegion3,141197
22,assignedToVehicleRegion1,pickedUpRegion1,141036
22,productCallsForTransportRegion1,assignedToVehicleRegion1,140913
22,startProcessingRegion2,finishedProcessingRegion2,140244
22,pickedUpRegion3,droppedOffRegion3,129755
22,assignedToVehicleRegion3,pickedUpRegion3,129741
22,productCallsForTransportRegion3,assignedToVehicleRegion3,127506
22,productCallsForTransportRegion1,productDisposed,10171
23,arrivalAtSource,productCallsForTransportRegion1,151493
23,droppedOffRegion2,startProcessingRegion2,144253
23,pickedUpRegion1,droppedOffRegion2,144241
23,finishedProcessingRegion2,productCallsForTransportRegion3,144223
23,assignedToVehicleRegion1,pickedUpRegion1,144094
23,productCallsForTransportRegion1,assignedToVehicleRegion1,143998
23,startProcessingRegion2,finishedProcessingRegion2,143254
23,assignedToVehicleRegion3,pickedUpRegion3,135493
23,pickedUpRegion3,droppedOffRegion3,135446
23,productCallsForTransportRegion3,assignedToVehicleRegion3,133845
23,productCallsForTransportRegion1,productDisposed,7200
24,arrivalAtSource,productCallsForTransportRegion1,151493
24,droppedOffRegion2,startProcessingRegion2,143627
24,productCallsForTransportRegion1,assignedToVehicleRegion1,143619
24,finishedProcessingRegion2,productCallsForTransportRegion3,143607
24,assignedToVehicleRegion1,pickedUpRegion1,143595
24,pickedUpRegion1,droppedOffRegion2,143582
24,startProcessingRegion2,finishedProcessingRegion2,142656
24,assignedToVehicleRegion3,pickedUpRegion3,127292
24,productCallsForTransportRegion3,assignedToVehicleRegion3,127284
24,pickedUpRegion3,droppedOffRegion3,127269
24,productCallsForTransportRegion1,productDisposed,7798
25,arrivalAtSource,productCallsForTransportRegion1,151493
25,droppedOffRegion2,startProcessingRegion2,149821
25,productCallsForTransportRegion1,assignedToVehicleRegion1,149815
25,assignedToVehicleRegion1,pickedUpRegion1,149777
25,pickedUpRegion1,droppedOffRegion2,149775
25,finishedProcessingRegion2,productCallsForTransportRegion3,149742
25,startProcessingRegion2,finishedProcessingRegion2,148774
25,assignedToVehicleRegion3,pickedUpRegion3,136282
25,productCallsForTransportRegion3,assignedToVehicleRegion3,136257
25,pickedUpRegion3,droppedOffRegion3,136227
25,productCallsForTransportRegion1,productDisposed,1668
26,arrivalAtSource,productCallsForTransportRegion1,151493
26,droppedOffRegion2,startProcessingRegion2,141573
26,pickedUpRegion1,droppedOffRegion2,141570
26,finishedProcessingRegion2,productCallsForTransportRegion3,141518
26,assignedToVehicleRegion1,pickedUpRegion1,141383
26,productCallsForTransportRegion1,assignedToVehicleRegion1,141258
26,startProcessingRegion2,finishedProcessingRegion2,140571
26,assignedToVehicleRegion3,pickedUpRegion3,132522
26,pickedUpRegion3,droppedOffRegion3,132443
26,productCallsForTransportRegion3,assignedToVehicleRegion3,130827
