experiment,run,number_of_cases,number_of_events,number_of_activities,number_of_variants,average_case_duration_min,longest_case_duration_min,average_final_quality
17,3,7574,82577,11,12,4.461083209884693,8.358585,86.41075261508611
17,4,7705,83954,11,12,4.474405436729397,8.807246666666666,86.23605092259487
17,5,7669,83717,11,10,4.486485281436085,8.376795,86.40107232002264
17,6,7706,84135,11,10,4.480450208711826,8.648118333333334,86.07310702398493
17,7,7538,82205,11,9,4.473422267400725,8.410731666666667,86.44785157269364
17,8,7603,83017,11,11,4.4908192003156655,8.46812,86.23325357293186
17,9,7633,83262,11,12,4.463688056683697,8.032048333333334,86.28671493075845
17,10,7577,82611,11,11,4.4885828806475745,8.775846666666666,86.56206968307407
17,11,7579,82688,11,10,4.471050180322822,8.193136666666666,86.25432146509698
17,12,7772,84756,11,11,4.4809993806827935,8.386000000000001,86.35229745272544
17,13,7638,83417,11,10,4.48195421489046,8.365816666666667,86.20392270296936
17,14,7654,83420,11,11,4.47548827933107,8.423115000000001,86.16170457631571
17,15,7706,84113,11,9,4.482648763301324,8.81648,86.14213514077615
17,16,7513,81893,11,10,4.484159246195484,8.293086666666666,86.29869524013799
17,17,7693,83936,11,11,4.466313762728022,8.511225,86.32476518487714
17,18,7548,82351,11,9,4.482557636680799,8.488338333333333,86.4138538274057
17,19,7730,84357,11,10,4.458282216041397,8.2807,86.11763741061773
17,20,7615,83040,11,8,4.477158985117094,8.390781666666667,86.45107642294134
18,1,7557,82487,11,11,4.488736124564421,8.195488333333333,86.36916876339082
18,2,7741,84413,11,10,4.48182446367825,8.366201666666667,86.312831286246
18,3,7572,82565,11,10,4.463771834169748,10.118406666666667,86.43751133486175
18,4,7710,83958,11,11,4.4709719479031556,8.366518333333334,86.14573359640202
18,5,7668,83707,11,9,4.489170746826638,8.111021666666666,86.37000458934438
18,6,7703,84126,11,9,4.479591256004154,9.254848333333333,86.07216312901298
18,7,7535,82214,11,12,4.485898635921257,8.639759999999999,86.27039161173204
18,8,7604,83003,11,11,4.485439694897422,9.764334999999999,86.36656756203763
18,9,7638,83275,11,11,4.4666967205638475,10.245261666666666,86.21976719548985
18,10,7571,82592,11,11,4.4977824516796545,8.242761666666667,86.4011762824044
18,11,7580,82697,11,10,4.475113990545295,10.721015,86.27939067929489
18,12,7771,84762,11,10,4.498138238321967,10.523036666666666,86.0974182009728
18,13,7639,83409,11,9,4.488512300911987,10.350423333333334,86.19176463217804
18,14,7656,83390,11,11,4.4698451613113885,7.981508333333333,86.23420819557815
18,15,7707,84103,11,10,4.489279136499287,14.608704999999999,86.15640948363433
18,16,7512,81881,11,10,4.478046713036918,8.789173333333334,86.31807123532528
18,17,7697,83928,11,10,4.4783188980555195,9.399041666666667,86.15214952928596
18,18,7548,82342,11,11,4.481117770270271,8.895985,86.45304914107719
18,19,7731,84374,11,9,4.462121257275902,8.57962,86.08435640237708
18,20,7610,83042,11,10,4.490033990363557,8.679196666666666,86.31378553949516
19,1,7574,82406,11,13,6.408520327876067,58.02830166666667,67.19565210844013
19,2,7759,84307,11,13,6.409084485973278,42.662803333333336,67.11261493706202
19,3,7587,82564,12,15,5.922862065814332,27.882794999999998,70.10531215748101
19,4,7725,83944,11,14,5.9719810394822,24.970613333333333,69.45663534311065
19,5,7690,83667,11,12,6.171984922410057,36.659535,68.67156073768577
19,6,7724,84125,11,12,6.005794320731919,24.225035,68.96646005329181
19,7,7541,82161,11,10,5.912037564867612,23.290331666666667,70.3409002125716
